,cod,sigla_casa,nome_casa,sigla_subtipo,nome_subtipo,ind_tramitando,data_votacao,ano_votacao,mes_votacao,dia_votacao,ementa,autor_principal,outros_autores
21,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2016-06-07,2016,06,07,"Estabelece normas gerais sobre plano, orçamento, controle e contabilidade pública, voltadas para a responsabilidade no processo orçamentário e na gestão financeira e patrimonial, altera dispositivos da Lei Complementar nº 101, de 4 de maio de 2000, a fim de fortalecer a gestão fiscal responsável e dá outras providências.",3396,[]
22,124219,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2016-04-13,2016,04,13,Institui novo regime especial de pagamento de precatórios no Ato das Disposições Constitucionais Transitórias.,90,"['3830', '4525', '35', '5533', '5523', '825', '677', '3396']"
23,123909,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Sim,2016-04-13,2016,04,13,"Acrescenta os arts. 101 e 102 ao Ato das Disposições Constitucionais Transitórias para instituir a desvinculação de receitas dos Estados, do Distrito Federal e dos Municípios.",0,"['945', '5529', '3830', '5537', '3361', '90', '5533', '1023', '5523', '825', '5527', '3396', '5535']"
24,121426,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2016-04-12,2016,04,12,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para vedar a aplicação de sanções ao Município que ultrapasse o limite para a despesa total com pessoal e para desobrigar o titular do Município de pagar despesas empenhadas no mandato do prefeito anterior, nos casos de perda de recursos que especifica.",5523,[]
25,124815,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2016-03-16,2016,03,16,"Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, para prever a inclusão, em quadro, em extinção, da administração pública federal, da pessoa que haja mantido vínculo ou relação de trabalho, empregatícia, estatutária ou funcional, com o Estado ou o ex-Território do Amapá ou o de Roraima, na fase de instalação dessas unidades federadas, sem prejuízo das demais providências dadas.",0,"['5529', '35', '90', '825', '5012', '677', '5527', '4560', '1173', '456']"
26,112161,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2013-09-11,2013,09,11,Altera o art. 55 da Constituição Federal para tornar automática a perda do mandato de parlamentar nas hipóteses de improbidade administrativa ou de condenação por crime contra a Administração Pública.,4545,"['945', '5008', '1249', '825', '5012']"
27,103765,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2013-08-07,2013,08,07,"Altera a redação do inciso VIII do § 3º do art. 142, da Constituição Federal, para estender aos profissionais de saúde das Forças Armadas a possibilidade de cumulação de cargo a que se refere art. 37, inciso XVI, alínea c.",0,"['4994', '5008', '4531', '825', '5012']"
28,100715,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2013-08-06,2013,08,06,"Altera a redação do art. 93 da Constituição Federal para excluir a pena de aposentadoria do magistrado, por interesse público.",5008,[]
29,99497,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2013-07-02,2013,07,02,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006.",739,[]
30,104348,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2013-07-02,2013,07,02,"Acrescenta o inciso V-A do art. 37 da Constituição da República, para vedar o provimento, a investidura e o exercício em cargo em comissão ou em função de confiança aos brasileiros que estejam em situação de inelegibilidade, ressalvadas as incompatibilidades específicas de cargos políticos eletivos, a condição de inalistável e a de militar.",0,"['945', '739', '4545', '4531', '1023', '5012']"
